beginString,bodyLength,msgType,senderCompID,targetCompID,msgSeqNum,sendingTime,lastMsgSeqNumProcessed,text,possDupFlag,tradingSessionSubID,securityStatusReqID,securityType,maturityDate,issueDate,couponRate,issuer,securityDesc,buyVolume,symbol,lastPx,lowPx,highPx,securityTradingStatus,checkSum
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,LM3,LM3,500000,LM3,2900,2700,3100,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,LM7,LM7,500000,LM7,4200,3800,4600,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,LO5,LO5,500000,LO5,3800,3500,4100,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,LTC,LTC,500000,LTC,8700,7900,9500,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,LUT,LUT,500000,LUT,4900,4500,5300,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,MAC,MAC,500000,MAC,7300,6600,8000,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,MAS,MAS,500000,MAS,87500,78800,96200,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,MAX,MAX,500000,MAX,3600,3300,3900,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,MCC,MCC,500000,MCC,14000,12600,15400,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,MCF,MCF,500000,MCF,17000,15300,18700,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,MCO,MCO,500000,MCO,4100,3700,4500,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,MDC,MDC,500000,MDC,10900,9900,11900,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,MEC,MEC,500000,MEC,5700,5200,6200,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,MHL,MHL,500000,MHL,7900,7200,8600,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,MIM,MIM,500000,MIM,5200,4700,5700,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,MKV,MKV,500000,MKV,9600,8700,10500,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,MNC,MNC,500000,MNC,13500,12200,14800,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,NAG,NAG,500000,NAG,6200,5600,6800,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,NBC,NBC,500000,NBC,12100,10900,13300,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,NBP,NBP,500000,NBP,17100,15400,18800,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,NDN,NDN,500000,NDN,17000,15300,18700,17,
